County,Year,Total_Population,White Male,White Female,Black Male,Black Female,American Indian Male,American Indian Female,Asian Male,Asian Female,Native Hawaiian Male,Native Hawaiian Female,2+ Race Male,2+ Race Female,Not Hispanic Male,Not Hispanic Female,Hispanic Male,Hispanic Female
Alameda County,2013,1580247,410841,409451,92245,104464,9186,8653,214573,234116,7487,8035,39680,41516,593421,630492,180591,175743
Alameda County,2013,97356,24595,23400,5731,5533,494,485,13029,12385,502,467,5451,5284,33639,32053,16163,15501
Alameda County,2013,98218,24226,22670,5822,5840,789,617,13785,13310,554,536,5210,4859,33612,32093,16774,15739
Alameda County,2013,92259,22797,21909,6261,6006,647,629,12643,12094,490,482,4255,4046,32171,30785,14922,14381
Alameda County,2013,95483,23787,23131,6540,6431,646,637,12877,12418,558,627,3947,3884,34113,32958,14242,14170
Alameda County,2013,110230,27613,26404,7435,7847,765,732,15394,15564,655,749,3431,3641,40044,40207,15249,14730
Alameda County,2013,121521,32572,30362,6609,7450,832,730,16793,17973,744,785,3115,3556,44738,46079,15927,14777
Alameda County,2013,125876,32718,30825,6720,7695,945,855,17977,20789,712,677,2821,3142,45317,48801,16576,15182
Alameda County,2013,116705,29555,27832,6096,7163,828,712,18456,20168,544,596,2196,2559,42704,45095,14971,13935
Alameda County,2013,117566,30972,29001,6282,7358,715,628,17809,19457,500,556,1985,2303,44324,46573,13939,12730
Alameda County,2013,110885,30549,28590,6374,7293,668,597,15332,16713,481,545,1784,1959,43454,44970,11734,10727
Alameda County,2013,112808,30969,30148,6949,7913,563,612,14657,16473,495,603,1647,1779,45842,48080,9438,9448
Alameda County,2013,103126,28551,28380,6438,7373,445,466,13033,14851,386,464,1340,1399,43077,45601,7116,7332
Alameda County,2013,86669,23175,24736,5212,6432,312,318,10908,12928,329,349,929,1041,36032,40435,4833,5369
Alameda County,2013,65874,18414,20061,3682,4602,216,245,7599,9221,231,212,646,745,27478,31349,3310,3737
Alameda County,2013,43412,11496,13374,2523,3174,146,157,5057,6376,147,145,374,443,17729,20986,2014,2683
Alameda County,2013,31292,7532,9528,1617,2239,76,80,4038,5407,82,98,239,356,12161,15617,1423,2091
Alameda County,2013,23425,5533,7888,941,1695,50,69,2804,3942,44,68,153,238,8496,12322,1029,1578
Alameda County,2013,27542,5787,11212,1013,2420,49,84,2382,4047,33,76,157,282,8490,16488,931,1633
Alameda County,2014,1608674,415670,414415,91757,103211,9191,8672,223223,243563,7584,8112,40723,42553,604701,641725,183447,178801
Alameda County,2014,97822,24770,23762,5578,5269,425,440,13312,12634,503,465,5408,5256,34025,32478,15971,15348
Alameda County,2014,98701,24057,22507,5720,5677,801,628,14169,13717,552,540,5306,5027,33767,32279,16838,15817
