Year,State,HAI,Facility1,Facility1_ID,County,Infection_Count,Num_patients
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Adventist Medical Center, Reedley",40000124.0,Fresno,0.0,5970.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"AHMC Anaheim Regional Medical Center, Anaheim",60000002.0,Orange,3.0,51929.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alameda County Medical Center, Oakland",140000034.0,Alameda,7.0,55590.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alameda Hospital,140000011.0,Alameda,0.0,11520.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alhambra Hospital Medical Center,930000005.0,Los Angeles,0.0,19433.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alta Bates Summit Medical Center, Alta Bates Campus, Berkeley",140000012.0,Alameda,0.0,87153.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alta Bates Summit Medical Center, Oakland",140000425.0,Alameda,4.0,66733.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Alvarado Hospital Medical Center, Campus #1, San Diego",90000013.0,San Diego,3.0,30896.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Antelope Valley Hospital, Lancaster",930000008.0,Los Angeles,6.0,98897.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Arrowhead Regional Medical Center, Colton",240000100.0,San Bernardino,14.0,109458.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Bakersfield Heart Hospital,120001330.0,Kern,0.0,16641.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Bakersfield Memorial Hospital,120000338.0,Kern,4.0,68579.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Banner Lassen Medical Center, Susanville",230000008.0,Lassen,0.0,4772.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Barstow Community Hospital,240000001.0,San Bernardino,0.0,7666.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Barton Memorial Hospital, South Lake Tahoe",30000114.0,El Dorado,0.0,7132.0
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Bear Valley Community Hospital, Big Bear Lake",240000002.0,San Bernardino,0.0,655.0
