OPEID,College,City,State,Zip,yrs
0,111100,ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,93454,2
1,111300,ANTELOPE VALLEY COLLEGE,LANCASTER,CA,93534,2
2,111800,BAKERSFIELD COLLEGE,BAKERSFIELD,CA,93305,2
3,111900,BARSTOW CMTY COLLEGE,BARSTOW,CA,92311,2
4,112400,CABRILLO COLLEGE,APTOS,CA,95003,2
5,113400,CALIF MARITIME ACADEMY,VALLEJO,CA,94590,4
6,113700,CALIF ST UNIV FULLERTON,FULLERTON,CA,92634,4
7,113800,CALIF ST UNIV HAYWARD,HAYWARD,CA,94542,4
8,113900,CALIF ST UNIV LONG BEACH,LONG BEACH,CA,90840,4
9,114000,CALIF ST UNIV LOS ANGELES,LOS ANGELES,CA,90032,4
10,114100,CALIF ST UNIV DOMINGUEZ H,CARSON,CA,90747,4
11,114200,CALIF ST UNIV SAN BERNARD,SN BERNRDNO,CA,92407,4
12,114300,CALIF POLYTECHNIC ST UNIV,SNLUIS OBSP,CA,93407,4
13,114400,CALIF ST POLY UNIV POMONA,POMONA,CA,91768,4
14,114600,CALIF ST UNIV CHICO,CHICO,CA,95929,4
15,114700,CALIF ST UNIV FRESNO,FRESNO,CA,93740,4
16,114900,HUMBOLDT STATE UNIVERSITY,ARCATA,CA,95521,4
17,115000,CALIF ST UNIV SACRAMENTO,SACRAMENTO,CA,95819,4
18,115100,SAN DIEGO STATE UNIVERSIT,SAN DIEGO,CA,92182,4
19,115300,CALIF ST UNIV NORTHRIDGE,NORTHRIDGE,CA,91330,4
20,115301,CAL STATE-CHANNEL ISL,CAMARILLO,CA,93012,4
21,115400,SAN FRANCISCO STATE UNIVE,SN FRANCSCO,CA,94132,4
22,115500,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,95192,4
23,115600,SONOMA STATE UNIVERSITY,ROHNERT PRK,CA,94928,4
24,115700,CALIF ST UNIV STANISLAUS,TURLOCK,CA,95380,4
25,116100,CERRITOS COLLEGE,NORWALK,CA,90650,2
26,116200,CHABOT COLLEGE,HAYWARD,CA,94545,2
27,116300,CHAFFEY CMTY COLLEGE,RNCH CMNGA,CA,91737,2
28,116600,CITRUS COLLEGE,GLENDORA,CA,91740,2
29,116700,CITY COLLEGE SAN FRANCISC,SAN FRNCSCO,CA,94112,2
30,117600,WEST HILLS CMTY COLLEGE,COALINGA,CA,93210,2
31,117800,COLL MARIN,KENTFIELD,CA,94904,2
32,118100,COLL SAN MATEO,SAN MATEO,CA,94402,2
33,118200,COLL DESERT,PALM DESERT,CA,92260,2
34,118500,COLL REDWOODS,EUREKA,CA,95501,2
35,118600,COLL SEQUOIAS,VISALIA,CA,93277,2
36,118700,COLL SISKIYOUS,WEED,CA,96094,2
37,118800,COMPTON CMTY COLLEGE,COMPTON,CA,90221,2
38,119000,CONTRA COSTA COLLEGE,SAN PABLO,CA,94806,2
39,119100,DIABLO VALLEY COLLEGE,PLEASNT HL,CA,94523,2
40,119200,CUESTA CMTY COLLEGE,SNLUIS OBSP,CA,93403,2
41,119300,CYPRESS COLLEGE,CYPRESS,CA,90630,2
42,119700,EL CAMINO COLLEGE,VIA TORRANC,CA,90506,2
43,119900,FOOTHILL COLLEGE,L ALTOS HLS,CA,94022,2
44,120100,FULLERTON COLLEGE,FULLERTON,CA,92634,2
45,120200,GAVILAN COLLEGE,GILROY,CA,95020,2
46,120300,GLENDALE CMTY COLLEGE CA,GLENDALE,CA,91208,2
47,120600,GOLDEN WEST COLLEGE,HUNTNGTN BH,CA,92647,2
48,120800,GROSSMONT CMTY COLLEGE,EL CAJON,CA,92020,2
49,120900,HARTNELL COLLEGE,SALINAS,CA,93901,2
50,121200,HUMPHREYS COLLEGE,STOCKTON,CA,95207,2
51,121400,IMPERIAL VALLEY COLLEGE,IMPERIAL,CA,92251,2
52,121700,LASSEN COLLEGE,SUSANVILLE,CA,96130,2
53,121900,LONG BEACH CITY COLLEGE,LONG BEACH,CA,90808,2
54,122300,LOS ANGELES CITY COLLEGE,LOS ANGELES,CA,90029,2
55,122400,LOS ANGELES HARBOR COLLEG,WILMINGTON,CA,90744,2
56,122600,LOS ANGELES PIERCE COLLEG,WOODLND HLS,CA,91371,2
57,122700,LOS ANGELES TRADE-TECH CO,LOS ANGELES,CA,90015,2
58,122800,LOS ANGELES VALLEY COLL,VALLEY GLEN,CA,91401,2
59,123200,AMERICAN RIVER COLLEGE,SACRAMENTO,CA,95841,2
60,123300,SACRAMENTO CITY COLLEGE,SACRAMENTO,CA,95822,2
61,123600,MENLO COLLEGE,ATHERTON,CA,94027,4
62,123700,MERCED COLLEGE,MERCED,CA,95340,2
63,123900,MIRA COSTA COLLEGE,OCEANSIDE,CA,92056,2
64,124000,MODESTO JR COLLEGE,MODESTO,CA,95350,2
65,124100,MONTEREY INST INTRNTL STU,MONTEREY,CA,93940,4
66,124200,MONTEREY PENINSULA COLLEG,MONTEREY,CA,93940,2
67,124500,MT SAN ANTONIO COLL,WALNUT,CA,91789,2
