Total Population,California County,Longitude,Latitude,PM2.5,Cleanup Sites,Haz. Waste,Pollution Burden,Asthma,Cardiovascular Disease,Traffic
2780,Fresno ,-119.7816961,36.7096952,13.90634758,70.5,3.1,78.9774037081157,129.54,21.47,1037.095744
4680,San Joaquin,-121.2878729,37.9431727,11.88408494,61.9,1.27,73.4349932598651,105.88,20.26,856.395935
2751,Los Angeles,-118.1974975,34.0175004,12.25164028,38.75,11.62,77.6731771907126,76.1,20.87,2522.622269
3664,Fresno ,-119.8277069,36.7345353,13.52093888,16.5,2.36,67.846835790617,139.45,22.68,690.502159
2689,Fresno ,-119.8055044,36.7354914,13.81895941,10.5,0.35,66.8259503134608,139.08,22.64,909.6508821
3306,Los Angeles,-118.2124134,33.881969,12.25258001,19.4,2.72,76.4366069619929,86.77,22.2,1480.520959
4255,Fresno ,-119.804314,36.6977507,13.55379682,15.45,0.56,66.3543495286784,139.35,22.68,243.2723063
5124,Los Angeles,-118.230032,33.8798617,12.21666021,22.5,1.785,73.273730851573,114.33,18.18,1575.35455
4561,Fresno ,-119.7410277,36.7026849,13.96606425,31.15,1.205,71.648924704289,89.27,14.13,438.594055
3688,San Joaquin,-121.2853628,37.953996,11.87572931,54.0,1.32,64.1533064638695,238.03,20.57,287.4559495
2000,Los Angeles,-118.2077883,34.0588723,12.57687534,16.8,2.09,74.4620514979824,65.53,13.45,2125.866346
3640,Los Angeles,-118.286709,33.8771395,12.0660607,16.0,7.28,81.9002151333833,64.77,12.99,3455.239256
1949,Los Angeles,-118.0651222,34.0572554,12.00416809,19.6,0.71,72.7538021833556,65.92,16.69,905.045862
6772,Los Angeles,-118.2350934,33.9327963,12.0902374,16.9,1.22,63.8979511636877,129.2,26.48,2484.965675
5705,Los Angeles,-118.2469968,34.0185256,12.09940492,53.15,3.065,70.2117141979963,68.48,21.83,832.5616204
2615,Los Angeles,-118.2502739,34.0244835,12.15802236,49.05,4.435,75.7583242418543,72.02,13.67,2429.418553
4225,Fresno ,-119.8010347,36.726462,13.77605928,15.0,0.285,68.4294982808718,139.35,22.68,641.6004036
2464,Los Angeles,-118.0605567,34.0686907,11.94103408,23.4,0.42,74.6575217183055,60.57,15.27,2834.65939
5999,Los Angeles,-118.2649765,33.9856783,12.14495497,127.95,0.56,67.229613783148,84.75,21.32,1052.626827
2031,Los Angeles,-118.2244531,34.0299036,12.41537427,33.55,9.24,76.2912819194124,51.49,12.45,3665.685846
3548,Los Angeles,-118.2117956,34.0187546,12.27407804,58.65,22.27,74.5568132352731,76.1,20.87,928.4647117
